game,window,gap_s,prev_time,prev_price,prev_ticker,curr_time,curr_price,curr_ticker
2026-Playoffs-GSW-LAC,close_game(35-65c),38.6,2026-04-13 16:59:35.808235+00:00,0.6500,KXNBAGAME-26APR15GSWLAC-LAC,2026-04-13 17:00:14.368173+00:00,0.3600,KXNBAGAME-26APR15GSWLAC-GSW
2025-Christmas-MIN-DEN,close_game(35-65c),38.6,2025-12-26 06:08:07.919914+00:00,0.3500,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-26 06:08:46.567009+00:00,0.6500,KXNBAGAME-25DEC25MINDEN-DEN
2025-Finals-G5-OKC-IND,close_game(35-65c),38.6,2025-06-13 20:50:24.298309+00:00,0.3500,KXNBAGAME-25JUN13OKCIND-IND,2025-06-13 20:51:02.930887+00:00,0.3500,KXNBAGAME-25JUN13OKCIND-IND
2025-Finals-G7-OKC-IND,close_game(35-65c),38.6,2025-06-17 05:03:22.688251+00:00,0.6500,KXNBAGAME-25JUN19OKCIND-OKC,2025-06-17 05:04:01.247708+00:00,0.6500,KXNBAGAME-25JUN19OKCIND-OKC
2026-Regular-DEN-OKC,close_game(35-65c),38.6,2026-02-26 22:47:18.978250+00:00,0.6300,KXNBAGAME-26FEB27DENOKC-OKC,2026-02-26 22:47:57.597051+00:00,0.3900,KXNBAGAME-26FEB27DENOKC-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),38.6,2025-12-25 05:13:35.907517+00:00,0.4400,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 05:14:14.539792+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),38.5,2025-12-24 05:16:07.849046+00:00,0.6200,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-24 05:16:46.362754+00:00,0.4000,KXNBAGAME-25DEC25MINDEN-MIN
2025-Finals-G7-OKC-IND,close_game(35-65c),38.5,2025-06-17 06:05:00.546328+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND,2025-06-17 06:05:39.041539+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND
2025-Christmas-MIN-DEN,close_game(35-65c),38.5,2025-12-25 19:18:19.604814+00:00,0.5300,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-25 19:18:58.063282+00:00,0.5300,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),38.5,2025-12-25 19:30:48.348472+00:00,0.4900,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 19:31:26.850076+00:00,0.4900,KXNBAGAME-25DEC25MINDEN-MIN
2026-Regular-DEN-OKC,close_game(35-65c),38.5,2026-02-26 05:41:09.502788+00:00,0.3700,KXNBAGAME-26FEB27DENOKC-DEN,2026-02-26 05:41:47.980386+00:00,0.3700,KXNBAGAME-26FEB27DENOKC-DEN
2026-Playoffs-GSW-LAC,close_game(35-65c),38.5,2026-04-14 18:38:52.560376+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 18:39:31.103855+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2026-Regular-DEN-OKC,close_game(35-65c),38.5,2026-02-26 19:19:12.490135+00:00,0.4000,KXNBAGAME-26FEB27DENOKC-DEN,2026-02-26 19:19:50.959629+00:00,0.6400,KXNBAGAME-26FEB27DENOKC-OKC
2025-Christmas-MIN-DEN,close_game(35-65c),38.4,2025-12-25 13:33:32.836922+00:00,0.5400,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-25 13:34:11.255326+00:00,0.5400,KXNBAGAME-25DEC25MINDEN-DEN
2026-Playoffs-GSW-LAC,close_game(35-65c),38.4,2026-04-14 00:21:24.302623+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 00:22:02.742299+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2025-Christmas-MIN-DEN,close_game(35-65c),38.4,2025-12-25 00:51:00.589136+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 00:51:38.941717+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN
2026-Playoffs-GSW-LAC,close_game(35-65c),38.4,2026-04-14 04:29:38.781994+00:00,0.3600,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 04:30:17.187445+00:00,0.3600,KXNBAGAME-26APR15GSWLAC-GSW
2026-Playoffs-GSW-LAC,close_game(35-65c),38.4,2026-04-15 13:20:38.782893+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-15 13:21:17.135387+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2025-Christmas-MIN-DEN,close_game(35-65c),38.4,2025-12-25 17:25:55.088824+00:00,0.4600,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 17:26:33.487668+00:00,0.5500,KXNBAGAME-25DEC25MINDEN-DEN
