game_id,game_cat,exit_strategy,threshold,exit_window_s,entry_ts,exit_ts,direction,entry_price,exit_price,net_edge_at_entry,time_remaining_feature,is_endgame,pnl_gross,pnl_net,hold_time_s,game_result,split
0042400401,Finals,convergence,0.07,60,1749170300.824778,1749170623.300004,-1,0.8,0.84,0.20997714936197553,2880.0,False,-0.039999999999999925,-0.060607999999999926,322.47522592544556,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749170300.824778,1749170362.402231,-1,0.8,0.84,0.20997714936197553,2880.0,False,-0.039999999999999925,-0.060607999999999926,61.57745289802551,0,in_sample
0042400401,Finals,convergence,0.07,60,1749170655.278744,1749170657.824761,-1,0.83,0.82,0.07955369879517907,2729.0,False,0.010000000000000009,-0.010208999999999998,2.5460169315338135,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749170655.278744,1749170715.450294,-1,0.83,0.81,0.07955369879517907,2729.0,False,0.019999999999999907,-0.000650000000000095,60.171550035476685,0,in_sample
0042400401,Finals,convergence,0.07,60,1749170738.61468,1749171461.457909,-1,0.8,0.82,0.09769085870240977,2696.0,False,-0.019999999999999907,-0.04153199999999991,722.8432290554047,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749170738.61468,1749170805.154285,-1,0.8,0.81,0.09769085870240977,2696.0,False,-0.010000000000000009,-0.03197300000000001,66.53960490226746,0,in_sample
0042400401,Finals,convergence,0.07,60,1749171495.373162,1749171586.266429,-1,0.84,0.82,0.08998890468325935,2383.0,False,0.020000000000000018,0.00026000000000001196,90.89326691627502,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749171495.373162,1749171556.606081,-1,0.84,0.85,0.08998890468325935,2383.0,False,-0.010000000000000009,-0.028333000000000014,61.23291897773743,0,in_sample
0042400401,Finals,convergence,0.07,60,1749171611.094274,1749171629.294464,-1,0.84,0.82,0.08998441203986648,2337.0,False,0.020000000000000018,0.00026000000000001196,18.20019006729126,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749171611.094274,1749171671.280147,-1,0.84,0.85,0.08998441203986648,2337.0,False,-0.010000000000000009,-0.028333000000000014,60.18587303161621,0,in_sample
0042400401,Finals,convergence,0.07,60,1749171643.100905,1749171804.331782,-1,0.84,0.86,0.08998324005425282,2325.0,False,-0.020000000000000018,-0.03783600000000002,161.230877161026,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749171643.100905,1749171704.39797,-1,0.84,0.85,0.08998324005425282,2325.0,False,-0.010000000000000009,-0.028333000000000014,61.297065019607544,0,in_sample
0042400401,Finals,convergence,0.07,60,1749171818.746422,1749171854.72267,-1,0.88,0.86,0.08798526657983936,2246.0,False,0.020000000000000018,0.004180000000000015,35.976248025894165,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749171818.746422,1749171881.866834,-1,0.88,0.88,0.08798526657983936,2246.0,False,0.0,-0.014784000000000002,63.12041187286377,0,in_sample
0042400401,Finals,convergence,0.07,60,1749171910.945402,1749171925.53078,-1,0.89,0.88,0.09852114796788713,2209.7,False,0.010000000000000009,-0.004244999999999992,14.585378170013428,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749171910.945402,1749171972.469891,-1,0.89,0.88,0.09852114796788713,2209.7,False,0.010000000000000009,-0.004244999999999992,61.52448916435242,0,in_sample
0042400401,Finals,convergence,0.07,60,1749172324.532359,1749172348.597345,-1,0.87,0.86,0.12145627003902687,2141.0,False,0.010000000000000009,-0.006344999999999993,24.06498622894287,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749172324.532359,1749172391.544376,-1,0.87,0.87,0.12145627003902687,2141.0,False,0.0,-0.015834,67.01201701164246,0,in_sample
0042400401,Finals,convergence,0.07,60,1749172384.014963,1749172502.789605,-1,0.87,0.86,0.07744978542446629,2124.0,False,0.010000000000000009,-0.006344999999999993,118.77464199066162,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749172384.014963,1749172449.334473,-1,0.87,0.89,0.07744978542446629,2124.0,False,-0.020000000000000018,-0.034770000000000016,65.31950998306274,0,in_sample
0042400401,Finals,convergence,0.07,60,1749172578.444973,1749172732.769404,-1,0.89,0.89,0.11980298546265422,2034.0,False,0.0,-0.013706,154.3244309425354,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749172578.444973,1749172638.95184,-1,0.89,0.9,0.11980298546265422,2034.0,False,-0.010000000000000009,-0.023153000000000007,60.50686693191528,0,in_sample
0042400401,Finals,convergence,0.07,60,1749172876.184106,1749172913.435114,-1,0.86,0.86,0.11092271100217564,1910.0,False,0.0,-0.016856000000000003,37.25100779533386,0,in_sample
0042400401,Finals,fixed_window,0.07,60,1749172876.184106,1749172940.267875,-1,0.86,0.85,0.11092271100217564,1910.0,False,0.010000000000000009,-0.007352999999999995,64.08376884460449,0,in_sample
0042400401,Finals,convergence,0.07,60,1749173050.834921,1749173139.311241,-1,0.87,0.84,0.09872070969827057,1835.0,False,0.030000000000000027,0.012675000000000023,88.47632002830505,0,in_sample
